title,num_subscribers,course_type,institution,Level,subject,lang,price,ventas,Plataforma
Marketing Analytics: Price and Promotion Analytics,41021,Self-paced on your time,"University of California, Berkeley",Intermediate,Computer Science,English,249,10214229,Edx
Implementation of Data Structures,27761,Self-paced on your time,IITBombay,Intermediate,Computer Science,English,149,4136389,Edx
Activism and Citizen Journalism through Media,7460,Self-paced on your time,Wits University,Introductory,Communication,English,49,365540,Edx
Electric and Conventional Vehicles,22089,Instructor-led on a course schedule,Chalmers University of Technology,Advanced,Engineering,English,249,5500161,Edx
Big Data Fundamentals,40106,Self-paced on your time,University of Adelaide,Intermediate,Computer Science,English,199,7981094,Edx
Sustainable Food Security: The value of systems thinking,26600,Self-paced on your time,Wageningen University & Research,Introductory,Biology & Life Sciences,English,49,1303400,Edx
Knowledge Management and Big Data in Business,69064,Self-paced on your time,The Hong Kong Polytechnic University,Introductory,Business & Management,English,50,3453200,Edx
Uso efectivo del tiempo,6409,Self-paced on your time,Pontificia Universidad Javeriana,Introductory,Economics & Finance,Español,49,314041,Edx
C Programming: Pointers and Memory Management,19171,Self-paced on your time,Dartmouth_IMTx-Dartmouth College-IMT,Introductory,Computer Science,English,49,939379,Edx
Astrophysics: The Violent Universe,65711,Self-paced on your time,Australian National University,Intermediate,Physics,English,50,3285550,Edx
Landscape Ecology,8644,Self-paced on your time,ETH Zurich,Intermediate,Environmental Studies,English,50,432200,Edx
IoT Programming and Big Data,21591,Self-paced on your time,Curtin University,Introductory,Computer Science,English,199,4296609,Edx
AWS: Getting Started with Cloud Security,8192,Self-paced on your time,Amazon Web Services,Introductory,Computer Science,English,49,401408,Edx
Introducción a la gravedad cuántica de lazos,7360,Self-paced on your time,Universidad Nacional de Córdoba,Introductory,Science,Español,50,368000,Edx
Introduction to the Music Business,46607,Self-paced on your time,Berklee College of Music,Introductory,Business & Management,English,49,2283743,Edx
Introducción a la programación en C: Tipos de datos y estructuras,13480,Self-paced on your time,Universidad Autónoma de Madrid,Introductory,Computer Science,Español,49,660520,Edx
Visualización de Datos y Storytelling,5980,Self-paced on your time,Tecnológico de Monterrey,Intermediate,Data Analysis & Statistics,Español,49,293020,Edx
