title,num_subscribers,course_type,institution,Level,subject,lang,price,ventas,Plataforma
Sign Language Science: Factors Contributing to Natural Change,0,Self-paced on your time,Georgetown University,Introductory,Language,English,99,0,Edx
Accounting System Structure and Information Management,0,Self-paced on your time,NYIF,Introductory,Economics & Finance,English,50,0,Edx
Sustainable Development: The Post-Capitalist Order,7031,Self-paced on your time,SDG Academy,Introductory,Economics & Finance,English,49,344519,Edx
"Health Law, Policy, and Advocacy",6358,Self-paced on your time,Doane University,Intermediate,Law,English,199,1265242,Edx
Introduction to Haptics,0,Self-paced on your time,Stanford University,Introductory,Engineering,English,129,0,Edx
Gestión de inventario y portafolio,0,Self-paced on your time,LOGYCA,Introductory,Engineering,Español,25,0,Edx
Understanding Nuclear Energy,16015,Self-paced on your time,Delft University of Technology,Intermediate,Engineering,English,50,800750,Edx
Cómo Convertirse en un Líder Exitoso (Entrenamiento de Liderazgo Inclusivo),11431,Self-paced on your time,Catalyst,Introductory,Business & Management,Español,50,571550,Edx
Decision Making Under Uncertainty: Introduction to Structured Expert Judgment,0,Self-paced on your time,Delft University of Technology,Introductory,Business & Management,English,50,0,Edx
AP® Calculus BC,8542,Self-paced on your time,Davidson Next,Introductory,Math,English,49,418558,Edx
Advanced Linear Algebra: Foundations to Frontiers,0,Self-paced on your time,The University of Texas at Austin,Advanced,Computer Science,English,49,0,Edx
Entrepreneurial Opportunities,27182,Self-paced on your time,University of Adelaide,Introductory,Business & Management,English,50,1359100,Edx
Agua en América Latina: Abundancia en medio de la escasez mundial,38581,Self-paced on your time,Inter-American Development Bank,Introductory,Environmental Studies,Español,25,964525,Edx
Understanding Political Concepts,7421,Self-paced on your time,Università degli Studi di Napoli Federico II,Introductory,Social Sciences,English,59,437839,Edx
How to Code: Complex Data,34190,Self-paced on your time,University of British Columbia,Introductory,Computer Science,English,125,4273750,Edx
Hypersonics – from Shock Waves to Scramjets,19043,Self-paced on your time,The University of Queensland,Advanced,Engineering,English,99,1885257,Edx
Micro and Nanofabrication (MEMS),16094,Self-paced on your time,École polytechnique fédérale de Lausanne,Advanced,Engineering,English,199,3202706,Edx
Scientific Methods and Research,7501,Self-paced on your time,Ural Federal University,Intermediate,Science,English,49,367549,Edx
Customer Centric Marketing for Entrepreneurs,14003,Self-paced on your time,Babson College,Intermediate,Business & Management,English,149,2086447,Edx
Dog Behavior: Problems and Solutions,16467,Self-paced on your time,Arizona State University,Intermediate,Social Sciences,English,169,2782923,Edx
The Business of Mining,20406,Self-paced on your time,Curtin University,Introductory,Business & Management,English,139,2836434,Edx
"Social Work Practice in Community Organization, Management and Policy/Evaluation",9522,Self-paced on your time,The University of Michigan,Advanced,Social Sciences,English,199,1894878,Edx
The Business of Aging in the Longevity Economy,0,Self-paced on your time,Georgetown University,Introductory,Social Sciences,English,139,0,Edx
Understanding the Australian Health Care System,8343,Self-paced on your time,The University of Queensland,Introductory,Medicine,English,59,492237,Edx
Age of Sustainable Development,10019,Self-paced on your time,SDG Academy,Intermediate,Social Sciences,English,49,490931,Edx
Internationalization: Creating Digital Content for the World,0,Self-paced on your time,University of Washington,Advanced,Computer Science,English,199,0,Edx
Multi-Object Tracking for Automotive Systems,8581,Instructor-led on a course schedule,Chalmers University of Technology,Advanced,Engineering,English,249,2136669,Edx
Economics and Policies in a Biobased Economy,0,Self-paced on your time,Wageningen University & Research,Advanced,Energy & Earth Sciences,English,149,0,Edx
Strategic Leadership in Healthcare,6237,Self-paced on your time,Doane University,Intermediate,Business & Management,English,199,1241163,Edx
Terrorism and Counterterrorism: An Introduction,14128,Self-paced on your time,Georgetown University,Introductory,Humanities,English,49,692272,Edx
Exploring Psychology's Core Concepts|走进心理学,5741,Self-paced on your time,Tsinghua University,Introductory,Social Sciences,English,139,797999,Edx
Creating Virtual Reality (VR) Apps,22349,Self-paced on your time,"The University of California, San Diego",Intermediate,Computer Science,English,99,2212551,Edx
Análisis Multivariable en SPSS,0,Self-paced on your time,Universidad Galileo,Introductory,Data Analysis & Statistics,Español,49,0,Edx
Steps in Japanese for Beginners2 Part1,0,Self-paced on your time,Waseda University,Introductory,Language,English,99,0,Edx
"Competencias para buscar, mantener y promocionar en un empleo",0,Self-paced on your time,Universidad Autónoma de Madrid,Introductory,Social Sciences,Español,49,0,Edx
Dynamics and Control,27763,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Engineering,English,50,1388150,Edx
Finding Your Cybersecurity Career Path,19283,Self-paced on your time,University of Washington,Introductory,Computer Science,English,199,3837317,Edx
Introducción a la caligrafía y paleografía en archivos hispanos medievales y modernos,12674,Self-paced on your time,Universidad Carlos III de Madrid,Introductory,Humanities,Español,29,367546,Edx
Mechanics: Rotational Dynamics,13183,Self-paced on your time,Massachusetts Institute of Technology,Intermediate,Physics,English,49,645967,Edx
Applying Health Coaching in Patient Care,0,Self-paced on your time,Doane University,Introductory,Medicine,English,199,0,Edx
Databases: Modeling and Theory,0,Self-paced on your time,Stanford University,Introductory,Computer Science,English,50,0,Edx
"Islamic Banking: Principles, Practice and Risk Management",0,Self-paced on your time,The Islamic Research and Training Institute,Introductory,Economics & Finance,English,49,0,Edx
Liderazgo orientado al florecimiento humano,7911,Self-paced on your time,Tecnológico de Monterrey,Introductory,Business & Management,Español,149,1178739,Edx
Software Construction: Object-Oriented Design,23100,Self-paced on your time,University of British Columbia,Intermediate,Computer Science,English,125,2887500,Edx
"Introduction to Hyperledger Sovereign Identity Blockchain Solutions: Indy, Aries & Ursa",0,Self-paced on your time,The Linux Foundation,Introductory,Computer Science,English,199,0,Edx
Fondements de l’économie sociale et solidaire,0,Instructor-led on a course schedule,Université catholique de Louvain,Intermediate,Social Sciences,Français,50,0,Edx
The Civil War and Reconstruction - 1861 - 1865: A New Birth of Freedom,17941,Self-paced on your time,Columbia University,Introductory,History,English,50,897050,Edx
Innovation Strategies for Electric Mobility: The StreetScooter Case,0,Self-paced on your time,RWTH Aachen University,Intermediate,Business & Management,English,99,0,Edx
Sustainable Energy,0,Instructor-led on a course schedule,Massachusetts Institute of Technology,Advanced,Energy & Earth Sciences,English,149,0,Edx
Designing and Leading Learning Systems,11895,Self-paced on your time,The University of Michigan,Advanced,Education & Teacher Training,English,199,2367105,Edx
How the U.S. Government Works & How to Get Involved,5930,Self-paced on your time,Georgetown University,Introductory,Social Sciences,English,49,290570,Edx
Inspiring and Motivating Arts and Culture Teams,10817,Self-paced on your time,The University of Michigan,Introductory,Business & Management,English,49,530033,Edx
Principles of Microeconomics: An Economist Way of Thinking,0,Self-paced on your time,The University of Queensland,Intermediate,Economics & Finance,English,149,0,Edx
A System View of Communications: From Signals to Packets (Part 1),34261,Self-paced on your time,The Hong Kong University of Science and Technology,Introductory,Computer Science,English,60,2055660,Edx
"Invasions, Rebellions, and the Fall of Imperial China",41537,Self-paced on your time,Harvard University,Introductory,History,English,139,5773643,Edx
AP® English Literature & Composition – Part 3: Plays,6443,Self-paced on your time,"University of California, Berkeley",Introductory,Humanities,English,49,315707,Edx
Cómo implantar grupos de mejora de procesos,28100,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Business & Management,Español,150,4215000,Edx
Proteins: Biology's Workforce,25893,Self-paced on your time,Rice University,Intermediate,Biology & Life Sciences,English,169,4375917,Edx
Introducción a los ritmos y relojes biológicos,6149,Self-paced on your time,Universidad Nacional de Córdoba,Introductory,Science,Español,50,307450,Edx
Linear Algebra I: Linear Equations,0,Self-paced on your time,The Georgia Institute of Technology,Intermediate,Math,English,199,0,Edx
"Fundamentals of Biomedical Imaging: Ultrasounds, X-ray, positron emission tomography (PET) and applications",10205,Self-paced on your time,École polytechnique fédérale de Lausanne,Advanced,Engineering,English,169,1724645,Edx
Fundamentos de Electromagnetismo para Ingeniería,15040,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Physics,Español,49,736960,Edx
Sustainable Food Systems: A Mediterranean Perspective,6480,Self-paced on your time,SDG Academy,Intermediate,Food & Nutrition,English,49,317520,Edx
Scripting and Programming Foundations,0,Self-paced on your time,Western Governors University,Introductory,Computer Science,English,299,0,Edx
Using GPUs to Scale and Speed-up Deep Learning,9294,Self-paced on your time,IBM,Intermediate,Data Analysis & Statistics,English,99,920106,Edx
StudioX: Creating a Course with edX Studio,20355,Self-paced on your time,edX,Introductory,Education & Teacher Training,English,99,2015145,Edx
The Power of Data,0,Self-paced on your time,Rolls-Royce,Introductory,Data Analysis & Statistics,English,49,0,Edx
Introducción a las ondas gravitacionales,8657,Self-paced on your time,Universidad Nacional de Córdoba,Introductory,Science,Español,50,432850,Edx
Drones and Autonomous Systems 2: Applications in Emergency Management,0,Self-paced on your time,University of Maryland Global Campus-University System of Maryland,Intermediate,Science,English,149,0,Edx
MathTrackX: Differential Calculus,0,Self-paced on your time,University of Adelaide,Introductory,Math,English,79,0,Edx
Global China: From the Mongols to the Ming,41902,Self-paced on your time,Harvard University,Introductory,History,English,139,5824378,Edx
Leaders in Citizen Security and Justice Management for the Caribbean,0,Self-paced on your time,Inter-American Development Bank,Intermediate,Social Sciences,English,25,0,Edx
Pattern Studying and Making | 图案审美与创作,0,Self-paced on your time,Tsinghua University,Introductory,Art & Culture,中文,139,0,Edx
Computational Neuroscience: Neuronal Dynamics of Cognition,11246,Self-paced on your time,École polytechnique fédérale de Lausanne,Advanced,Biology & Life Sciences,English,139,1563194,Edx
Cities and the Challenge of Sustainable Development,8775,Self-paced on your time,SDG Academy,Introductory,Environmental Studies,English,25,219375,Edx
MathTrackX: Special Functions,0,Self-paced on your time,University of Adelaide,Introductory,Math,English,79,0,Edx
